0, 0
1, 33
2, 30
3, 31
4, 35
5, 35
6, 35
7, 35
8, 41
9, 41
10, 41
11, 41
12, 41
13, 40
14, 40
15, 40
16, 46
17, 59
18, 47
19, 46
20, 46
21, 48
22, 74
23, 47
24, 46
25, 45
26, 44
27, 45
28, 45
29, 46
30, 45
31, 45
32, 60
33, 68
34, 70
35, 70
36, 67
37, 69
38, 71
39, 70
40, 81
41, 65
42, 65
43, 65
44, 59
45, 59
46, 92
47, 64
48, 64
49, 59
50, 61
51, 59
52, 61
53, 58
54, 58
55, 66
56, 65
57, 88
58, 67
59, 66
60, 65
61, 59
62, 83
63, 68
64, 66
65, 87
66, 65
67, 66
68, 67
69, 67
70, 63
71, 66
72, 66
73, 64
74, 66
75, 65
76, 65
77, 63
78, 67
79, 65
80, 89
81, 68
82, 66
83, 68
84, 65
85, 67
86, 65
87, 67
88, 64
89, 66
90, 65
91, 63
92, 65
93, 67
94, 66
95, 66
96, 85
97, 65
98, 65
99, 66
100, 66
101, 67
102, 64
103, 66
104, 65
105, 69
106, 65
107, 65
108, 66
109, 68
110, 91
111, 82
112, 130
113, 83
114, 71
115, 68
116, 83
117, 79
118, 149
119, 83
120, 77
121, 76
122, 92
123, 82
124, 86
125, 82
126, 79
127, 80
128, 85
129, 93
130, 127
131, 99
132, 88
133, 85
134, 97
135, 87
136, 80
137, 96
138, 98
139, 101
140, 90
141, 126
142, 86
143, 84
144, 85
145, 84
146, 91
147, 71
148, 71
149, 74
150, 72
151, 70
152, 71
153, 71
154, 76
155, 72
156, 69
157, 123
158, 93
159, 72
160, 93
161, 73
162, 73
163, 73
164, 70
165, 71
166, 95
167, 111
168, 83
169, 70
170, 92
171, 74
172, 138
173, 71
174, 74
175, 76
176, 69
177, 87
178, 84
179, 70
180, 72
181, 77
182, 73
183, 189
184, 165
185, 96
186, 94
187, 86
188, 95
189, 96
190, 91
191, 96
192, 96
193, 121
194, 85
195, 93
196, 92
197, 87
198, 76
199, 77
200, 77
201, 75
202, 77
203, 75
204, 76
205, 98
206, 80
207, 75
208, 81
209, 77
210, 77
211, 79
212, 75
213, 78
214, 76
215, 78
216, 74
217, 78
218, 92
219, 130
220, 118
221, 86
222, 78
223, 76
224, 77
225, 74
226, 75
227, 77
228, 82
229, 84
230, 86
231, 173
232, 117
233, 117
234, 111
235, 111
236, 115
237, 112
238, 118
239, 116
240, 164
241, 112
242, 112
243, 143
244, 114
245, 114
246, 118
247, 109
248, 142
249, 114
250, 112
251, 103
252, 116
253, 105
254, 110
255, 116
